anio;jurisdiccion;empresa
09/2019;MUNICIPAL;"TRANSPORTE IDEAL SAN JUSTO S.A."
09/2019;MUNICIPAL;"TRANSPORTES LA PERLITA S.A."
09/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A."
09/2019;MUNICIPAL;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I."
09/2019;MUNICIPAL;"UNION PLATENSE SRL"
09/2019;MUNICIPAL;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T."
09/2019;MUNICIPAL;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS"
09/2019;MUNICIPAL;"UTENOR SA L 722"
09/2019;MUNICIPAL;"YITOS S.A."
08/2019;MUNICIPAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I"
08/2019;MUNICIPAL;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT"
08/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL"
08/2019;MUNICIPAL;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL"
08/2019;MUNICIPAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278"
08/2019;MUNICIPAL;"COMPAÑIA ISLEÑA S.R.L."
08/2019;MUNICIPAL;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI"
08/2019;MUNICIPAL;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA"
08/2019;MUNICIPAL;"EL URBANO SRL"
08/2019;MUNICIPAL;"EMPRESA 501 SA"
08/2019;MUNICIPAL;"EMPRESA CINCO DE AGOSTO S.R.L."
08/2019;MUNICIPAL;"EMPRESA CIUDAD DE SAN FERNANDO SA"
08/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL"
08/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES EL LITORAL S.A."
08/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES SANTA RITA  SRL"
08/2019;MUNICIPAL;"EMPRESA J.M. EZEIZA S.R.L."
08/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T."
08/2019;MUNICIPAL;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL"
08/2019;MUNICIPAL;"EMPRESA MONTE GRANDE S.A. LINEA 501"
08/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T."
08/2019;MUNICIPAL;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L."
08/2019;MUNICIPAL;"EMRESA MONTERREY S.R.L."
08/2019;MUNICIPAL;"EXPRESO EMPALME LOBOS S.R.L."
08/2019;MUNICIPAL;"EXPRESO LA PLATA BUENOS AIRES S.A."
08/2019;MUNICIPAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A."
08/2019;MUNICIPAL;"EXPRESO VILLA NUEVA S.A."
08/2019;MUNICIPAL;"FUERTE BARRAGAN S.A.T.I.C.I."
08/2019;MUNICIPAL;"GENERAL TOMAS GUIDO S.A.C.I.F."
08/2019;MUNICIPAL;"LA CABAÑA S.A."
08/2019;MUNICIPAL;"LA CENTRAL DE ESCOBAR SA"
08/2019;MUNICIPAL;"LA PRIMERA DE GRAND BOURG S.A."
08/2019;MUNICIPAL;"LA PRIMERA DE LA ESCONDIDA SRL"
08/2019;MUNICIPAL;"LA PRIMERA DE MALVINAS ARGENTINAS UTE"
08/2019;MUNICIPAL;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS"
08/2019;MUNICIPAL;"LINEA EXPRESO LINIERS S.A.I.Y C."
08/2019;MUNICIPAL;"LINEA SESENTA SA"
08/2019;MUNICIPAL;"MICRO OMNIBUS AVENIDA S.A."
08/2019;MUNICIPAL;"MICRO OMNIBUS ESTE S.A"
08/2019;MUNICIPAL;"MICRO OMNIBUS GENERAL SAN MARTIN SAC"
08/2019;MUNICIPAL;"MICRO OMNIBUS GRAL PACHECO SRL"
08/2019;MUNICIPAL;"MICRO OMNIBUS PRIMERA JUNTA S.A"
08/2019;MUNICIPAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F."
08/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A."
08/2019;MUNICIPAL;"MICROEXPRES S.A."
08/2019;MUNICIPAL;"NUEVO IDEAL S.A."
08/2019;MUNICIPAL;"PILAR BUS S.A"
08/2019;MUNICIPAL;"RUTA BUS S.A."
08/2019;MUNICIPAL;"SAN VICENTE S.A. DE TRANSPORTES"
08/2019;MUNICIPAL;"SARGENTO CABRAL S.A.DE TRANSPORTE"
08/2019;MUNICIPAL;"SERGIO A. RIVAS S.R.L"
08/2019;MUNICIPAL;"TRANSPORTE 11 DE JUNIO S.R.L."
08/2019;MUNICIPAL;"TRANSPORTE DEL SUR S.R.L."
08/2019;MUNICIPAL;"TRANSPORTE IDEAL SAN JUSTO S.A."
08/2019;MUNICIPAL;"TRANSPORTES LA PERLITA S.A."
08/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A."
08/2019;MUNICIPAL;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I."
08/2019;MUNICIPAL;"UNION PLATENSE SRL"
08/2019;MUNICIPAL;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T."
08/2019;MUNICIPAL;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS"
08/2019;MUNICIPAL;"UTENOR SA L 722"
08/2019;MUNICIPAL;"YITOS S.A."
07/2019;MUNICIPAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I"
07/2019;MUNICIPAL;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT"
07/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL"
07/2019;MUNICIPAL;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL"
07/2019;MUNICIPAL;"CIA LA PAZ AMADOR MOURE SACIFIYA"
07/2019;MUNICIPAL;"COMPA•IA ISLE•A S.R.L."
07/2019;MUNICIPAL;"COMPA•IA MICROOMNIBUS LA COLORADA SACI"
07/2019;MUNICIPAL;"COMPA•÷A DE OMNIBUS 25 DE MAYO LINEA 278"
07/2019;MUNICIPAL;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA"
07/2019;MUNICIPAL;"EL URBANO SRL"
07/2019;MUNICIPAL;"EMPRESA 501 SA"
07/2019;MUNICIPAL;"EMPRESA CINCO DE AGOSTO S.R.L."
07/2019;MUNICIPAL;"EMPRESA CIUDAD DE SAN FERNANDO SA"
07/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL"
07/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES EL LITORAL S.A."
07/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES SANTA RITA  SRL"
07/2019;MUNICIPAL;"EMPRESA J.M. EZEIZA S.R.L."
07/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T."
07/2019;MUNICIPAL;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL"
07/2019;MUNICIPAL;"EMPRESA MONTE GRANDE S.A. LINEA 501"
07/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T."
07/2019;MUNICIPAL;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L."
07/2019;MUNICIPAL;"EMRESA MONTERREY S.R.L."
07/2019;MUNICIPAL;"EXPRESO EMPALME LOBOS S.R.L."
07/2019;MUNICIPAL;"EXPRESO LA PLATA BUENOS AIRES S.A."
07/2019;MUNICIPAL;"EXPRESO VILLA GALICIAˇ SAN JOSE S.A."
07/2019;MUNICIPAL;"EXPRESO VILLA NUEVA S.A."
07/2019;MUNICIPAL;"FUERTE BARRAGAN S.A.T.I.C.I."
07/2019;MUNICIPAL;"GENERAL TOMAS GUIDO S.A.C.I.F."
07/2019;MUNICIPAL;"LA CABA•A S.A."
07/2019;MUNICIPAL;"LA CENTRAL DE ESCOBAR SA"
07/2019;MUNICIPAL;"LA PRIMERA DE GRAND BOURG S.A."
07/2019;MUNICIPAL;"LA PRIMERA DE LA ESCONDIDA SRL"
07/2019;MUNICIPAL;"LA PRIMERA DE MALVINAS ARGENTINAS UTE"
07/2019;MUNICIPAL;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS"
07/2019;MUNICIPAL;"LINEA EXPRESO LINIERS S.A.I.Y C."
07/2019;MUNICIPAL;"LINEA SESENTA SA"
07/2019;MUNICIPAL;"MICRO OMNIBUS AVENIDA S.A."
07/2019;MUNICIPAL;"MICRO OMNIBUS ESTE S.A"
07/2019;MUNICIPAL;"MICRO OMNIBUS GENERAL SAN MARTIN SAC"
07/2019;MUNICIPAL;"MICRO OMNIBUS GRAL PACHECO SRL"
07/2019;MUNICIPAL;"MICRO OMNIBUS PRIMERA JUNTA S.A"
07/2019;MUNICIPAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F."
07/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A."
07/2019;MUNICIPAL;"MICROEXPRES S.A."
07/2019;MUNICIPAL;"NUEVO IDEAL S.A."
07/2019;MUNICIPAL;"PILAR BUS S.A"
07/2019;MUNICIPAL;"RUTA BUS S.A."
07/2019;MUNICIPAL;"SAN VICENTE S.A. DE TRANSPORTES"
07/2019;MUNICIPAL;"SARGENTO CABRAL S.A.DE TRANSPORTE"
07/2019;MUNICIPAL;"SERGIO A. RIVAS S.R.L"
07/2019;MUNICIPAL;"TRANSPORTE 11 DE JUNIO S.R.L."
07/2019;MUNICIPAL;"TRANSPORTE DEL SUR S.R.L."
07/2019;MUNICIPAL;"TRANSPORTE IDEAL SAN JUSTO S.A."
07/2019;MUNICIPAL;"TRANSPORTES LA PERLITA S.A."
07/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A."
07/2019;MUNICIPAL;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I."
07/2019;MUNICIPAL;"UNION PLATENSE SRL"
07/2019;MUNICIPAL;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T."
07/2019;MUNICIPAL;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS"
07/2019;MUNICIPAL;"UTENOR SA L 722"
07/2019;MUNICIPAL;"YITOS S.A."
06/2019;MUNICIPAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I"
06/2019;MUNICIPAL;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT"
06/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL"
06/2019;MUNICIPAL;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL"
06/2019;MUNICIPAL;"CIA LA PAZ AMADOR MOURE SACIFIYA"
06/2019;MUNICIPAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278"
06/2019;MUNICIPAL;"COMPAÑIA ISLEÑA S.R.L."
06/2019;MUNICIPAL;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI"
06/2019;MUNICIPAL;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA"
06/2019;MUNICIPAL;"EL URBANO SRL"
06/2019;MUNICIPAL;"EMPRESA 501 SA"
06/2019;MUNICIPAL;"EMPRESA CINCO DE AGOSTO S.R.L."
06/2019;MUNICIPAL;"EMPRESA CIUDAD DE SAN FERNANDO SA"
06/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL"
06/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES EL LITORAL S.A."
06/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES SANTA RITA  SRL"
06/2019;MUNICIPAL;"EMPRESA J.M. EZEIZA S.R.L."
06/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T."
06/2019;MUNICIPAL;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL"
06/2019;MUNICIPAL;"EMPRESA MONTE GRANDE S.A. LINEA 501"
06/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T."
06/2019;MUNICIPAL;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L."
06/2019;MUNICIPAL;"EMRESA MONTERREY S.R.L."
06/2019;MUNICIPAL;"EXPRESO EMPALME LOBOS S.R.L."
06/2019;MUNICIPAL;"EXPRESO LA PLATA BUENOS AIRES S.A."
06/2019;MUNICIPAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A."
06/2019;MUNICIPAL;"EXPRESO VILLA NUEVA S.A."
06/2019;MUNICIPAL;"FUERTE BARRAGAN S.A.T.I.C.I."
06/2019;MUNICIPAL;"GENERAL TOMAS GUIDO S.A.C.I.F."
06/2019;MUNICIPAL;"LA CABAÑA S.A."
06/2019;MUNICIPAL;"LA CENTRAL DE ESCOBAR SA"
06/2019;MUNICIPAL;"LA PRIMERA DE GRAND BOURG S.A."
06/2019;MUNICIPAL;"LA PRIMERA DE LA ESCONDIDA SRL"
06/2019;MUNICIPAL;"LA PRIMERA DE MALVINAS ARGENTINAS UTE"
06/2019;MUNICIPAL;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS"
06/2019;MUNICIPAL;"LINEA EXPRESO LINIERS S.A.I.Y C."
06/2019;MUNICIPAL;"LINEA SESENTA SA"
06/2019;MUNICIPAL;"MICRO OMNIBUS AVENIDA S.A."
06/2019;MUNICIPAL;"MICRO OMNIBUS ESTE S.A"
06/2019;MUNICIPAL;"MICRO OMNIBUS GENERAL SAN MARTIN SAC"
06/2019;MUNICIPAL;"MICRO OMNIBUS GRAL PACHECO SRL"
06/2019;MUNICIPAL;"MICRO OMNIBUS PRIMERA JUNTA S.A"
06/2019;MUNICIPAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F."
06/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A."
06/2019;MUNICIPAL;"MICROEXPRES S.A."
06/2019;MUNICIPAL;"MUNICIPALIDAD DE MERCEDES PROVINCIA DE BUENOS AIRE"
06/2019;MUNICIPAL;"NACION SERVICIOS S.A."
06/2019;MUNICIPAL;"NUEVO IDEAL S.A."
06/2019;MUNICIPAL;"PILAR BUS S.A"
06/2019;MUNICIPAL;"RUTA BUS S.A."
06/2019;MUNICIPAL;"SAN VICENTE S.A. DE TRANSPORTES"
06/2019;MUNICIPAL;"SARGENTO CABRAL S.A.DE TRANSPORTE"
06/2019;MUNICIPAL;"SERGIO A. RIVAS S.R.L"
06/2019;MUNICIPAL;"TRANSPORTE 11 DE JUNIO S.R.L."
06/2019;MUNICIPAL;"TRANSPORTE DEL SUR S.R.L."
06/2019;MUNICIPAL;"TRANSPORTE IDEAL SAN JUSTO S.A."
06/2019;MUNICIPAL;"TRANSPORTE SAPEM"
06/2019;MUNICIPAL;"TRANSPORTES LA PERLITA S.A."
06/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A."
06/2019;MUNICIPAL;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I."
06/2019;MUNICIPAL;"UNION PLATENSE SRL"
06/2019;MUNICIPAL;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T."
06/2019;MUNICIPAL;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS"
06/2019;MUNICIPAL;"UTENOR SA L 722"
06/2019;MUNICIPAL;"YITOS S.A."
05/2019;MUNICIPAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I"
05/2019;MUNICIPAL;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT"
05/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL"
05/2019;MUNICIPAL;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL"
05/2019;MUNICIPAL;"CIA LA PAZ AMADOR MOURE SACIFIYA"
05/2019;MUNICIPAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278"
05/2019;MUNICIPAL;"COMPAÑIA ISLEÑA S.R.L."
05/2019;MUNICIPAL;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI"
05/2019;MUNICIPAL;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA"
05/2019;MUNICIPAL;"EL URBANO SRL"
05/2019;MUNICIPAL;"EMPRESA 501 SA"
05/2019;MUNICIPAL;"EMPRESA CINCO DE AGOSTO S.R.L."
05/2019;MUNICIPAL;"EMPRESA CIUDAD DE SAN FERNANDO SA"
05/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL"
05/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES EL LITORAL S.A."
05/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES SANTA RITA  SRL"
05/2019;MUNICIPAL;"EMPRESA J.M. EZEIZA S.R.L."
05/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T."
05/2019;MUNICIPAL;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL"
05/2019;MUNICIPAL;"EMPRESA MONTE GRANDE S.A. LINEA 501"
05/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T."
05/2019;MUNICIPAL;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L."
05/2019;MUNICIPAL;"EMRESA MONTERREY S.R.L."
05/2019;MUNICIPAL;"EXPRESO EMPALME LOBOS S.R.L."
05/2019;MUNICIPAL;"EXPRESO LA PLATA BUENOS AIRES S.A."
05/2019;MUNICIPAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A."
05/2019;MUNICIPAL;"EXPRESO VILLA NUEVA S.A."
05/2019;MUNICIPAL;"FUERTE BARRAGAN S.A.T.I.C.I."
05/2019;MUNICIPAL;"GENERAL TOMAS GUIDO S.A.C.I.F."
05/2019;MUNICIPAL;"LA CABAÑA S.A."
05/2019;MUNICIPAL;"LA CENTRAL DE ESCOBAR SA"
05/2019;MUNICIPAL;"LA PRIMERA DE GRAND BOURG S.A."
05/2019;MUNICIPAL;"LA PRIMERA DE LA ESCONDIDA SRL"
05/2019;MUNICIPAL;"LA PRIMERA DE MALVINAS ARGENTINAS UTE"
05/2019;MUNICIPAL;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS"
05/2019;MUNICIPAL;"LINEA EXPRESO LINIERS S.A.I.Y C."
05/2019;MUNICIPAL;"LINEA SESENTA SA"
05/2019;MUNICIPAL;"MICRO OMNIBUS AVENIDA S.A."
05/2019;MUNICIPAL;"MICRO OMNIBUS ESTE S.A"
05/2019;MUNICIPAL;"MICRO OMNIBUS GENERAL SAN MARTIN SAC"
05/2019;MUNICIPAL;"MICRO OMNIBUS GRAL PACHECO SRL"
05/2019;MUNICIPAL;"MICRO OMNIBUS PRIMERA JUNTA S.A"
05/2019;MUNICIPAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F."
05/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A."
05/2019;MUNICIPAL;"MICROEXPRES S.A."
05/2019;MUNICIPAL;"MUNICIPALIDAD DE MERCEDES PROVINCIA DE BUENOS AIRE"
05/2019;MUNICIPAL;"NACION SERVICIOS S.A."
05/2019;MUNICIPAL;"NUEVO IDEAL S.A."
05/2019;MUNICIPAL;"PILAR BUS S.A"
05/2019;MUNICIPAL;"RUTA BUS S.A."
05/2019;MUNICIPAL;"SAN VICENTE S.A. DE TRANSPORTES"
05/2019;MUNICIPAL;"SARGENTO CABRAL S.A.DE TRANSPORTE"
05/2019;MUNICIPAL;"SERGIO A. RIVAS S.R.L"
05/2019;MUNICIPAL;"TRANSPORTE 11 DE JUNIO S.R.L."
05/2019;MUNICIPAL;"TRANSPORTE DEL SUR S.R.L."
05/2019;MUNICIPAL;"TRANSPORTE IDEAL SAN JUSTO S.A."
05/2019;MUNICIPAL;"TRANSPORTE SAPEM"
05/2019;MUNICIPAL;"TRANSPORTES LA PERLITA S.A."
05/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A."
05/2019;MUNICIPAL;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I."
05/2019;MUNICIPAL;"UNION PLATENSE SRL"
05/2019;MUNICIPAL;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T."
05/2019;MUNICIPAL;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS"
05/2019;MUNICIPAL;"UTENOR SA L 722"
05/2019;MUNICIPAL;"YITOS S.A."
04/2019;MUNICIPAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I"
04/2019;MUNICIPAL;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT"
04/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL"
04/2019;MUNICIPAL;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL"
04/2019;MUNICIPAL;"CIA LA PAZ AMADOR MOURE SACIFIYA"
04/2019;MUNICIPAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278"
04/2019;MUNICIPAL;"COMPAÑIA ISLEÑA S.R.L."
04/2019;MUNICIPAL;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI"
04/2019;MUNICIPAL;"COOPERATIVA DE TRABAJO 3 DE JULIO LIMITADA"
04/2019;MUNICIPAL;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA"
04/2019;MUNICIPAL;"EL URBANO SRL"
04/2019;MUNICIPAL;"EMPRESA 501 SA"
04/2019;MUNICIPAL;"EMPRESA CINCO DE AGOSTO S.R.L."
04/2019;MUNICIPAL;"EMPRESA CIUDAD DE SAN FERNANDO SA"
04/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL"
04/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES EL LITORAL S.A."
04/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES SANTA RITA  SRL"
04/2019;MUNICIPAL;"EMPRESA J.M. EZEIZA S.R.L."
04/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T."
04/2019;MUNICIPAL;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL"
04/2019;MUNICIPAL;"EMPRESA MONTE GRANDE S.A. LINEA 501"
04/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T."
04/2019;MUNICIPAL;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L."
04/2019;MUNICIPAL;"EMRESA MONTERREY S.R.L."
04/2019;MUNICIPAL;"EXPRESO EMPALME LOBOS S.R.L."
04/2019;MUNICIPAL;"EXPRESO LA PLATA BUENOS AIRES S.A."
04/2019;MUNICIPAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A."
04/2019;MUNICIPAL;"EXPRESO VILLA NUEVA S.A."
04/2019;MUNICIPAL;"FUERTE BARRAGAN S.A.T.I.C.I."
04/2019;MUNICIPAL;"GENERAL TOMAS GUIDO S.A.C.I.F."
04/2019;MUNICIPAL;"LA CABAÑA S.A."
04/2019;MUNICIPAL;"LA CENTRAL DE ESCOBAR SA"
04/2019;MUNICIPAL;"LA PRIMERA DE GRAND BOURG S.A."
04/2019;MUNICIPAL;"LA PRIMERA DE LA ESCONDIDA SRL"
04/2019;MUNICIPAL;"LA PRIMERA DE MALVINAS ARGENTINAS UTE"
04/2019;MUNICIPAL;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS"
04/2019;MUNICIPAL;"LINEA EXPRESO LINIERS S.A.I.Y C."
04/2019;MUNICIPAL;"LINEA SESENTA SA"
04/2019;MUNICIPAL;"MICRO OMNIBUS AVENIDA S.A."
04/2019;MUNICIPAL;"MICRO OMNIBUS ESTE S.A"
04/2019;MUNICIPAL;"MICRO OMNIBUS GENERAL SAN MARTIN SAC"
