anio;jurisdiccion;empresa
09/2019;NACIONAL;"GRUPO LINEA 179 S.A."
09/2019;NACIONAL;"JUAN B. JUSTO S.A.T.C.I."
09/2019;NACIONAL;"LA CABAÑA S.A."
09/2019;NACIONAL;"LA CENTRAL DE VICENTE LOPEZ S.A."
09/2019;NACIONAL;"LA NUEVA METROPOL S.A."
09/2019;NACIONAL;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS"
09/2019;NACIONAL;"LINEA 10 S.A."
09/2019;NACIONAL;"LINEA 17 S.A."
09/2019;NACIONAL;"LINEA 213 S.A. DE TRANSPORTE"
09/2019;NACIONAL;"LINEA 22 S.A."
09/2019;NACIONAL;"LINEA 71 S.A."
09/2019;NACIONAL;"LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I."
09/2019;NACIONAL;"LINEA EXPRESO LINIERS S.A.I.Y C."
09/2019;NACIONAL;"LOS CONSTITUYENTES S.A.T."
09/2019;NACIONAL;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR"
09/2019;NACIONAL;"MAYO S.A.T.A."
09/2019;NACIONAL;"MICRO OMNIBUS NORTE S.A."
09/2019;NACIONAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F."
09/2019;NACIONAL;"MICRO OMNIBUS SUR S.A.C."
09/2019;NACIONAL;"MICROOMNIBUS BARRANCAS DE BELGRANO S.A."
09/2019;NACIONAL;"MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I"
09/2019;NACIONAL;"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F."
09/2019;NACIONAL;"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I."
09/2019;NACIONAL;"NUDO S.A."
09/2019;NACIONAL;"NUEVOS RUMBOS S.A.T.A.C.I.F.I."
09/2019;NACIONAL;"ROCARAZA S.A."
09/2019;NACIONAL;"SAN VICENTE S.A. DE TRANSPORTES"
09/2019;NACIONAL;"SARGENTO CABRAL S.A.DE TRANSPORTE"
09/2019;NACIONAL;"SOCIEDAD ANONIMA EXPRESO SUDOESTE"
09/2019;NACIONAL;"TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C."
09/2019;NACIONAL;"TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C."
09/2019;NACIONAL;"TRANSP. SGTO. CABRAL"
09/2019;NACIONAL;"TRANSPORTE ESCALADA S.A.T."
09/2019;NACIONAL;"TRANSPORTE IDEAL SAN JUSTO S.A."
09/2019;NACIONAL;"TRANSPORTE LARRAZABAL C.I.S.A."
09/2019;NACIONAL;"TRANSPORTE NUEVE DE JULIO SAC."
09/2019;NACIONAL;"TRANSPORTES 1º SEPTIEMBRE S.A."
09/2019;NACIONAL;"TRANSPORTES 270 S.A."
09/2019;NACIONAL;"TRANSPORTES ALMIRANTE BROWN S.A."
09/2019;NACIONAL;"TRANSPORTES ATLANTIDA S.A.C."
09/2019;NACIONAL;"TRANSPORTES AUTOMOTORES CALLAO S.A."
09/2019;NACIONAL;"TRANSPORTES AUTOMOTORES RIACHUELO S.A."
09/2019;NACIONAL;"TRANSPORTES AVENIDA BERNARDO ADER S.A."
09/2019;NACIONAL;"TRANSPORTES COLEGIALES S.A.C.I."
09/2019;NACIONAL;"TRANSPORTES DEL TEJAR S.A."
09/2019;NACIONAL;"TRANSPORTES LINEA 123 S.A.C.I."
09/2019;NACIONAL;"TRANSPORTES LOPE DE VEGA S.A.C.I."
09/2019;NACIONAL;"TRANSPORTES NUEVA CHICAGO C.I.S.A."
09/2019;NACIONAL;"TRANSPORTES QUIRNO COSTA S.A.C.I."
09/2019;NACIONAL;"TRANSPORTES RIO GRANDE S.A.C.I.F."
09/2019;NACIONAL;"TRANSPORTES SAN CAYETANO S.A.C."
09/2019;NACIONAL;"TRANSPORTES SANTA FE S.A.C.I."
09/2019;NACIONAL;"TRANSPORTES SESENTA Y OCHO S.R.L."
09/2019;NACIONAL;"TRANSPORTES SOL DE MAYO C.I.S.A."
09/2019;NACIONAL;"TRANSPORTES SUR-NOR C.I.S.A."
09/2019;NACIONAL;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA"
09/2019;NACIONAL;"UNION TRANSPORTISTAS DE EMPRESAS SA"
09/2019;NACIONAL;"VUELTA DE ROCHA S.A.T.C.I."
08/2019;NACIONAL;"17 DE AGOSTO S.A."
08/2019;NACIONAL;"4 DE SEPTIEMBRE S.A.T.C.P."
08/2019;NACIONAL;"ALMAFUERTE S.A.T.A.C.I."
08/2019;NACIONAL;"AZUL S.A. DE TRANSPORTE AUTOMOTOR"
08/2019;NACIONAL;"BERNARDINO RIVADAVIA S.A.T.A."
08/2019;NACIONAL;"BUENOS AIRES BUS SOCIEDAD ANONIMA"
08/2019;NACIONAL;"BUS DEL OESTE S.A."
08/2019;NACIONAL;"CARDENAS S.A. EMPRESA DE TRANSPORTES"
08/2019;NACIONAL;"COLECTIVEROS UNIDOS S.A."
08/2019;NACIONAL;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI"
08/2019;NACIONAL;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR"
08/2019;NACIONAL;"D.U.V.I. SOCIEDAD ANONIMA"
08/2019;NACIONAL;"EL NUEVO HALCON S.A."
08/2019;NACIONAL;"EL PUENTE S.A.T."
08/2019;NACIONAL;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A."
08/2019;NACIONAL;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L."
08/2019;NACIONAL;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F."
08/2019;NACIONAL;"EMPRESA ANTARTIDA ARGENTINA S.A.T."
08/2019;NACIONAL;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A"
08/2019;NACIONAL;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I."
08/2019;NACIONAL;"EMPRESA LINEA 216 S.A.T."
08/2019;NACIONAL;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S."
08/2019;NACIONAL;"ERSA URBANO"
08/2019;NACIONAL;"EXPRESO GENERAL SARMIENTO S.A."
08/2019;NACIONAL;"EXPRESO QUILMES S.A."
08/2019;NACIONAL;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I."
08/2019;NACIONAL;"GENERAL PUEYRREDON S.A.T.C.I."
08/2019;NACIONAL;"GENERAL TOMAS GUIDO S.A.C.I.F."
08/2019;NACIONAL;"GRUPO LINEA 179 S.A."
08/2019;NACIONAL;"JUAN B. JUSTO S.A.T.C.I."
08/2019;NACIONAL;"LA CABAÑA S.A."
08/2019;NACIONAL;"LA CENTRAL DE VICENTE LOPEZ S.A."
08/2019;NACIONAL;"LA NUEVA METROPOL S.A."
08/2019;NACIONAL;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS"
08/2019;NACIONAL;"LINEA 10 S.A."
08/2019;NACIONAL;"LINEA 17 S.A."
08/2019;NACIONAL;"LINEA 213 S.A. DE TRANSPORTE"
08/2019;NACIONAL;"LINEA 22 S.A."
08/2019;NACIONAL;"LINEA 71 S.A."
08/2019;NACIONAL;"LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I."
08/2019;NACIONAL;"LINEA EXPRESO LINIERS S.A.I.Y C."
08/2019;NACIONAL;"LOS CONSTITUYENTES S.A.T."
08/2019;NACIONAL;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR"
08/2019;NACIONAL;"MAYO S.A.T.A."
08/2019;NACIONAL;"MICRO OMNIBUS NORTE S.A."
08/2019;NACIONAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F."
08/2019;NACIONAL;"MICRO OMNIBUS SUR S.A.C."
08/2019;NACIONAL;"MICROOMNIBUS BARRANCAS DE BELGRANO S.A."
08/2019;NACIONAL;"MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I"
08/2019;NACIONAL;"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F."
08/2019;NACIONAL;"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I."
08/2019;NACIONAL;"NUDO S.A."
08/2019;NACIONAL;"NUEVOS RUMBOS S.A.T.A.C.I.F.I."
08/2019;NACIONAL;"ROCARAZA S.A."
08/2019;NACIONAL;"SAN VICENTE S.A. DE TRANSPORTES"
08/2019;NACIONAL;"SARGENTO CABRAL S.A.DE TRANSPORTE"
08/2019;NACIONAL;"SOCIEDAD ANONIMA EXPRESO SUDOESTE"
08/2019;NACIONAL;"TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C."
08/2019;NACIONAL;"TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C."
08/2019;NACIONAL;"TRANSP. SGTO. CABRAL"
08/2019;NACIONAL;"TRANSPORTE ESCALADA S.A.T."
08/2019;NACIONAL;"TRANSPORTE IDEAL SAN JUSTO S.A."
08/2019;NACIONAL;"TRANSPORTE LARRAZABAL C.I.S.A."
08/2019;NACIONAL;"TRANSPORTE NUEVE DE JULIO SAC."
08/2019;NACIONAL;"TRANSPORTES 1º SEPTIEMBRE S.A."
08/2019;NACIONAL;"TRANSPORTES 270 S.A."
08/2019;NACIONAL;"TRANSPORTES ALMIRANTE BROWN S.A."
08/2019;NACIONAL;"TRANSPORTES ATLANTIDA S.A.C."
08/2019;NACIONAL;"TRANSPORTES AUTOMOTORES CALLAO S.A."
08/2019;NACIONAL;"TRANSPORTES AUTOMOTORES RIACHUELO S.A."
08/2019;NACIONAL;"TRANSPORTES AVENIDA BERNARDO ADER S.A."
08/2019;NACIONAL;"TRANSPORTES COLEGIALES S.A.C.I."
08/2019;NACIONAL;"TRANSPORTES DEL TEJAR S.A."
08/2019;NACIONAL;"TRANSPORTES LINEA 123 S.A.C.I."
08/2019;NACIONAL;"TRANSPORTES LOPE DE VEGA S.A.C.I."
08/2019;NACIONAL;"TRANSPORTES NUEVA CHICAGO C.I.S.A."
08/2019;NACIONAL;"TRANSPORTES QUIRNO COSTA S.A.C.I."
08/2019;NACIONAL;"TRANSPORTES RIO GRANDE S.A.C.I.F."
08/2019;NACIONAL;"TRANSPORTES SAN CAYETANO S.A.C."
08/2019;NACIONAL;"TRANSPORTES SANTA FE S.A.C.I."
08/2019;NACIONAL;"TRANSPORTES SESENTA Y OCHO S.R.L."
08/2019;NACIONAL;"TRANSPORTES SOL DE MAYO C.I.S.A."
08/2019;NACIONAL;"TRANSPORTES SUR-NOR C.I.S.A."
08/2019;NACIONAL;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA"
08/2019;NACIONAL;"UNION TRANSPORTISTAS DE EMPRESAS SA"
08/2019;NACIONAL;"VUELTA DE ROCHA S.A.T.C.I."
07/2019;NACIONAL;"17 DE AGOSTO S.A."
07/2019;NACIONAL;"4 DE SEPTIEMBRE S.A.T.C.P."
07/2019;NACIONAL;"ALMAFUERTE S.A.T.A.C.I."
07/2019;NACIONAL;"AZUL S.A. DE TRANSPORTE AUTOMOTOR"
07/2019;NACIONAL;"BERNARDINO RIVADAVIA S.A.T.A."
07/2019;NACIONAL;"BUENOS AIRES BUS SOCIEDAD ANONIMA"
07/2019;NACIONAL;"BUS DEL OESTE S.A."
07/2019;NACIONAL;"CARDENAS S.A. EMPRESA DE TRANSPORTES"
07/2019;NACIONAL;"COLECTIVEROS UNIDOS S.A."
07/2019;NACIONAL;"COMPA•IA MICROOMNIBUS LA COLORADA SACI"
07/2019;NACIONAL;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR"
07/2019;NACIONAL;"D.U.V.I. SOCIEDAD ANONIMA"
07/2019;NACIONAL;"EL NUEVO HALCON S.A."
07/2019;NACIONAL;"EL PUENTE S.A.T."
07/2019;NACIONAL;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A."
07/2019;NACIONAL;"EMP.DE TRANSP.MICROOMN.SAENZ PE•A S.R.L."
07/2019;NACIONAL;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F."
07/2019;NACIONAL;"EMPRESA ANTARTIDA ARGENTINA S.A.T."
07/2019;NACIONAL;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A"
07/2019;NACIONAL;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I."
07/2019;NACIONAL;"EMPRESA LINEA 216 S.A.T."
07/2019;NACIONAL;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S."
07/2019;NACIONAL;"ERSA URBANO"
07/2019;NACIONAL;"EXPRESO GENERAL SARMIENTO S.A."
07/2019;NACIONAL;"EXPRESO LOMAS S.A."
07/2019;NACIONAL;"EXPRESO QUILMES S.A."
07/2019;NACIONAL;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I."
07/2019;NACIONAL;"GENERAL PUEYRREDON S.A.T.C.I."
07/2019;NACIONAL;"GENERAL TOMAS GUIDO S.A.C.I.F."
07/2019;NACIONAL;"GRUPO LINEA 179 S.A."
07/2019;NACIONAL;"JUAN B. JUSTO S.A.T.C.I."
07/2019;NACIONAL;"LA CABA•A S.A."
07/2019;NACIONAL;"LA CENTRAL DE VICENTE LOPEZ S.A."
07/2019;NACIONAL;"LA NUEVA METROPOL S.A."
07/2019;NACIONAL;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS"
07/2019;NACIONAL;"LINEA 10 S.A."
07/2019;NACIONAL;"LINEA 17 S.A."
07/2019;NACIONAL;"LINEA 213 S.A. DE TRANSPORTE"
07/2019;NACIONAL;"LINEA 22 S.A."
07/2019;NACIONAL;"LINEA 71 S.A."
07/2019;NACIONAL;"LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I."
07/2019;NACIONAL;"LINEA EXPRESO LINIERS S.A.I.Y C."
07/2019;NACIONAL;"LOS CONSTITUYENTES S.A.T."
07/2019;NACIONAL;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR"
07/2019;NACIONAL;"MAYO S.A.T.A."
07/2019;NACIONAL;"MICRO OMNIBUS NORTE S.A."
07/2019;NACIONAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F."
07/2019;NACIONAL;"MICRO OMNIBUS SUR S.A.C."
07/2019;NACIONAL;"MICROOMNIBUS BARRANCAS DE BELGRANO S.A."
07/2019;NACIONAL;"MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I"
07/2019;NACIONAL;"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F."
07/2019;NACIONAL;"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I."
07/2019;NACIONAL;"NUDO S.A."
07/2019;NACIONAL;"NUEVOS RUMBOS S.A.T.A.C.I.F.I."
07/2019;NACIONAL;"ROCARAZA S.A."
07/2019;NACIONAL;"SAN VICENTE S.A. DE TRANSPORTES"
07/2019;NACIONAL;"SARGENTO CABRAL S.A.DE TRANSPORTE"
07/2019;NACIONAL;"SOCIEDAD ANONIMA EXPRESO SUDOESTE"
07/2019;NACIONAL;"TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C."
07/2019;NACIONAL;"TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C."
07/2019;NACIONAL;"TRANSP. SGTO. CABRAL"
07/2019;NACIONAL;"TRANSPORTE ESCALADA S.A.T."
07/2019;NACIONAL;"TRANSPORTE IDEAL SAN JUSTO S.A."
07/2019;NACIONAL;"TRANSPORTE LARRAZABAL C.I.S.A."
07/2019;NACIONAL;"TRANSPORTE NUEVE DE JULIO SAC."
07/2019;NACIONAL;"TRANSPORTES 1ß SEPTIEMBRE S.A."
07/2019;NACIONAL;"TRANSPORTES 270 S.A."
07/2019;NACIONAL;"TRANSPORTES ALMIRANTE BROWN S.A."
07/2019;NACIONAL;"TRANSPORTES ATLANTIDA S.A.C."
07/2019;NACIONAL;"TRANSPORTES AUTOMOTORES CALLAO S.A."
07/2019;NACIONAL;"TRANSPORTES AUTOMOTORES RIACHUELO S.A."
07/2019;NACIONAL;"TRANSPORTES AVENIDA BERNARDO ADER S.A."
07/2019;NACIONAL;"TRANSPORTES COLEGIALES S.A.C.I."
07/2019;NACIONAL;"TRANSPORTES DEL TEJAR S.A."
07/2019;NACIONAL;"TRANSPORTES LINEA 123 S.A.C.I."
07/2019;NACIONAL;"TRANSPORTES LOPE DE VEGA S.A.C.I."
07/2019;NACIONAL;"TRANSPORTES NUEVA CHICAGO C.I.S.A."
07/2019;NACIONAL;"TRANSPORTES QUIRNO COSTA S.A.C.I."
07/2019;NACIONAL;"TRANSPORTES RIO GRANDE S.A.C.I.F."
07/2019;NACIONAL;"TRANSPORTES SAN CAYETANO S.A.C."
07/2019;NACIONAL;"TRANSPORTES SANTA FE S.A.C.I."
07/2019;NACIONAL;"TRANSPORTES SESENTA Y OCHO S.R.L."
07/2019;NACIONAL;"TRANSPORTES SOL DE MAYO C.I.S.A."
07/2019;NACIONAL;"TRANSPORTES SUR-NOR C.I.S.A."
07/2019;NACIONAL;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA"
07/2019;NACIONAL;"UNION TRANSPORTISTAS DE EMPRESAS SA"
07/2019;NACIONAL;"VUELTA DE ROCHA S.A.T.C.I."
06/2019;NACIONAL;"17 DE AGOSTO S.A."
06/2019;NACIONAL;"4 DE SEPTIEMBRE S.A.T.C.P."
06/2019;NACIONAL;"ALMAFUERTE S.A.T.A.C.I."
06/2019;NACIONAL;"AZUL S.A. DE TRANSPORTE AUTOMOTOR"
06/2019;NACIONAL;"BERNARDINO RIVADAVIA S.A.T.A."
06/2019;NACIONAL;"BUENOS AIRES BUS SOCIEDAD ANONIMA"
06/2019;NACIONAL;"BUS DEL OESTE S.A."
06/2019;NACIONAL;"CARDENAS S.A. EMPRESA DE TRANSPORTES"
06/2019;NACIONAL;"COLECTIVEROS UNIDOS S.A."
06/2019;NACIONAL;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI"
06/2019;NACIONAL;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR"
06/2019;NACIONAL;"D.U.V.I. SOCIEDAD ANONIMA"
06/2019;NACIONAL;"EL NUEVO HALCON S.A."
06/2019;NACIONAL;"EL PUENTE S.A.T."
06/2019;NACIONAL;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A."
06/2019;NACIONAL;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L."
06/2019;NACIONAL;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F."
06/2019;NACIONAL;"EMPRESA ANTARTIDA ARGENTINA S.A.T."
06/2019;NACIONAL;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A"
06/2019;NACIONAL;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I."
06/2019;NACIONAL;"EMPRESA LINEA 216 S.A.T."
06/2019;NACIONAL;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S."
06/2019;NACIONAL;"ERSA URBANO"
06/2019;NACIONAL;"EXPRESO GENERAL SARMIENTO S.A."
06/2019;NACIONAL;"EXPRESO QUILMES S.A."
06/2019;NACIONAL;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I."
06/2019;NACIONAL;"GENERAL PUEYRREDON S.A.T.C.I."
06/2019;NACIONAL;"GENERAL TOMAS GUIDO S.A.C.I.F."
06/2019;NACIONAL;"GRUPO LINEA 179 S.A."
06/2019;NACIONAL;"JUAN B. JUSTO S.A.T.C.I."
06/2019;NACIONAL;"LA CABAÑA S.A."
06/2019;NACIONAL;"LA CENTRAL DE VICENTE LOPEZ S.A."
06/2019;NACIONAL;"LA NUEVA METROPOL S.A."
06/2019;NACIONAL;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS"
06/2019;NACIONAL;"LINEA 10 S.A."
06/2019;NACIONAL;"LINEA 17 S.A."
06/2019;NACIONAL;"LINEA 213 S.A. DE TRANSPORTE"
06/2019;NACIONAL;"LINEA 22 S.A."
06/2019;NACIONAL;"LINEA 71 S.A."
06/2019;NACIONAL;"LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I."
06/2019;NACIONAL;"LINEA EXPRESO LINIERS S.A.I.Y C."
06/2019;NACIONAL;"LOS CONSTITUYENTES S.A.T."
06/2019;NACIONAL;"M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR"
06/2019;NACIONAL;"MAYO S.A.T.A."
06/2019;NACIONAL;"MICRO OMNIBUS NORTE S.A."
06/2019;NACIONAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F."
06/2019;NACIONAL;"MICRO OMNIBUS SUR S.A.C."
06/2019;NACIONAL;"MICROOMNIBUS BARRANCAS DE BELGRANO S.A."
06/2019;NACIONAL;"MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I"
06/2019;NACIONAL;"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F."
06/2019;NACIONAL;"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I."
06/2019;NACIONAL;"NUDO S.A."
06/2019;NACIONAL;"NUEVOS RUMBOS S.A.T.A.C.I.F.I."
06/2019;NACIONAL;"ROCARAZA S.A."
06/2019;NACIONAL;"SAN VICENTE S.A. DE TRANSPORTES"
06/2019;NACIONAL;"SARGENTO CABRAL S.A.DE TRANSPORTE"
06/2019;NACIONAL;"SOCIEDAD ANONIMA EXPRESO SUDOESTE"
06/2019;NACIONAL;"TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C."
06/2019;NACIONAL;"TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C."
06/2019;NACIONAL;"TRANSP. SGTO. CABRAL"
06/2019;NACIONAL;"TRANSPORTE ESCALADA S.A.T."
06/2019;NACIONAL;"TRANSPORTE IDEAL SAN JUSTO S.A."
06/2019;NACIONAL;"TRANSPORTE LARRAZABAL C.I.S.A."
06/2019;NACIONAL;"TRANSPORTE NUEVE DE JULIO SAC."
06/2019;NACIONAL;"TRANSPORTES 1º SEPTIEMBRE S.A."
06/2019;NACIONAL;"TRANSPORTES 270 S.A."
06/2019;NACIONAL;"TRANSPORTES ALMIRANTE BROWN S.A."
06/2019;NACIONAL;"TRANSPORTES ATLANTIDA S.A.C."
06/2019;NACIONAL;"TRANSPORTES AUTOMOTORES CALLAO S.A."
06/2019;NACIONAL;"TRANSPORTES AUTOMOTORES RIACHUELO S.A."
06/2019;NACIONAL;"TRANSPORTES AVENIDA BERNARDO ADER S.A."
06/2019;NACIONAL;"TRANSPORTES COLEGIALES S.A.C.I."
06/2019;NACIONAL;"TRANSPORTES DEL TEJAR S.A."
06/2019;NACIONAL;"TRANSPORTES LINEA 123 S.A.C.I."
06/2019;NACIONAL;"TRANSPORTES LOPE DE VEGA S.A.C.I."
06/2019;NACIONAL;"TRANSPORTES NUEVA CHICAGO C.I.S.A."
06/2019;NACIONAL;"TRANSPORTES QUIRNO COSTA S.A.C.I."
06/2019;NACIONAL;"TRANSPORTES RIO GRANDE S.A.C.I.F."
06/2019;NACIONAL;"TRANSPORTES SAN CAYETANO S.A.C."
06/2019;NACIONAL;"TRANSPORTES SANTA FE S.A.C.I."
06/2019;NACIONAL;"TRANSPORTES SESENTA Y OCHO S.R.L."
06/2019;NACIONAL;"TRANSPORTES SOL DE MAYO C.I.S.A."
06/2019;NACIONAL;"TRANSPORTES SUR-NOR C.I.S.A."
06/2019;NACIONAL;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA"
06/2019;NACIONAL;"UNION TRANSPORTISTAS DE EMPRESAS SA"
06/2019;NACIONAL;"VUELTA DE ROCHA S.A.T.C.I."
05/2019;NACIONAL;"17 DE AGOSTO S.A."
05/2019;NACIONAL;"4 DE SEPTIEMBRE S.A.T.C.P."
05/2019;NACIONAL;"ALMAFUERTE S.A.T.A.C.I."
05/2019;NACIONAL;"AZUL S.A. DE TRANSPORTE AUTOMOTOR"
05/2019;NACIONAL;"BERNARDINO RIVADAVIA S.A.T.A."
05/2019;NACIONAL;"BUENOS AIRES BUS SOCIEDAD ANONIMA"
05/2019;NACIONAL;"BUS DEL OESTE S.A."
05/2019;NACIONAL;"CARDENAS S.A. EMPRESA DE TRANSPORTES"
05/2019;NACIONAL;"COLECTIVEROS UNIDOS S.A."
05/2019;NACIONAL;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI"
05/2019;NACIONAL;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR"
05/2019;NACIONAL;"D.U.V.I. SOCIEDAD ANONIMA"
05/2019;NACIONAL;"EL NUEVO HALCON S.A."
05/2019;NACIONAL;"EL PUENTE S.A.T."
05/2019;NACIONAL;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A."
05/2019;NACIONAL;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L."
05/2019;NACIONAL;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F."
05/2019;NACIONAL;"EMPRESA ANTARTIDA ARGENTINA S.A.T."
05/2019;NACIONAL;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A"
05/2019;NACIONAL;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I."
05/2019;NACIONAL;"EMPRESA LINEA 216 S.A.T."
05/2019;NACIONAL;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S."
05/2019;NACIONAL;"ERSA URBANO"
05/2019;NACIONAL;"EXPRESO GENERAL SARMIENTO S.A."
05/2019;NACIONAL;"EXPRESO LOMAS S.A."
05/2019;NACIONAL;"EXPRESO QUILMES S.A."
05/2019;NACIONAL;"EXPRESO SAN ISIDRO S.A.T.C.I.F.I."
05/2019;NACIONAL;"GENERAL PUEYRREDON S.A.T.C.I."
05/2019;NACIONAL;"GENERAL TOMAS GUIDO S.A.C.I.F."
