GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
R_Sp_excise_average,Average - taxes as a % of cigarette price - specific excise,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4598,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,0.00,0.00000,,,,,
R_Sp_excise_average,Average - taxes as a % of cigarette price - specific excise,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4598,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,0.00,0.00000,,,,,
R_Other_average,Average - taxes as a % of cigarette price - other taxes,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4599,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,0.00,0.00000,,,,,
R_Ad_val_average,Average - taxes as a % of cigarette price - ad valorem excise,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4596,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,64.60,64.60000,,,,,
R_Ad_val_average,Average - taxes as a % of cigarette price - ad valorem excise,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4596,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Not applicable,,,,,,Data not required/not applicable
R_imp_duty_average,Average - taxes as a % of cigarette price - import duties,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4597,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,0.00,0.00000,,,,,
R_Other_average,Average - taxes as a % of cigarette price - other taxes,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4599,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,0.00,0.00000,,,,,
R_VAT_average,Average - taxes as a % of cigarette price - value added tax,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4601,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,5.50,5.50000,,,,,
R_total_tax_average,Average - taxes as a % of cigarette price - total tax,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4600,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,69.70,69.70000,,,,,
R_VAT_average,Average - taxes as a % of cigarette price - value added tax,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4601,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Not applicable,,,,,,Data not required/not applicable
R_VAT_average,Average - taxes as a % of cigarette price - value added tax,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4601,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,5.30,5.30000,,,,,
R_total_tax_average,Average - taxes as a % of cigarette price - total tax,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4600,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Not applicable,,,,,,Data not required/not applicable
R_imp_duty_average,Average - taxes as a % of cigarette price - import duties,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4597,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Not applicable,,,,,,Data not required/not applicable
R_imp_duty_average,Average - taxes as a % of cigarette price - import duties,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4597,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Not applicable,,,,,,Data not required/not applicable
R_Other_average,Average - taxes as a % of cigarette price - other taxes,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4599,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Not applicable,,,,,,Data not required/not applicable
R_Other_average,Average - taxes as a % of cigarette price - other taxes,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4599,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Not applicable,,,,,,Data not required/not applicable
R_admin_duty_free_allowance,"Tax administration: If duty free imports are limited, duty free allowance (number of cigarette sticks)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4619,PUBLISHED,Published,,,,,AMR,Americas,,ARG,,,Argentina,,,,,Not available,,,,,,Data not reported/not available
Camp_aud_research,Formative research was conducted prior to the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2751,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Data not available,,,,,,
Camp_aud_research,Formative research was conducted prior to the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2751,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Data not available,,,,,,
Camp_aud_research,Formative research was conducted prior to the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2751,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Yes,,,,,,
Camp_aud_research,Formative research was conducted prior to the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2751,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Not applicable,,,,,,
Camp_aud_research,Formative research was conducted prior to the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2751,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
Camp_aud_research,Formative research was conducted prior to the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2751,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
Camp_aud_research,Formative research was conducted prior to the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2751,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
Camp_eval_impact,Outcome evaluation was employed to assess effectiveness of the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2755,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Data not available,,,,,,
Camp_eval_impact,Outcome evaluation was employed to assess effectiveness of the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2755,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Data not available,,,,,,
Camp_eval_impact,Outcome evaluation was employed to assess effectiveness of the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2755,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
Camp_eval_impact,Outcome evaluation was employed to assess effectiveness of the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2755,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Not applicable,,,,,,
Camp_eval_impact,Outcome evaluation was employed to assess effectiveness of the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2755,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,No,,,,,,
Camp_eval_impact,Outcome evaluation was employed to assess effectiveness of the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2755,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,No,,,,,,
Camp_eval_impact,Outcome evaluation was employed to assess effectiveness of the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2755,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,No,,,,,,
Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2749,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Data not available,,,,,,
Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2749,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Data not available,,,,,,
Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2749,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Yes,,,,,,
Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2749,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Not applicable,,,,,,
Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2749,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2749,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2749,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
Camp_mat_tested,Campaign was pre-tested,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2750,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Data not available,,,,,,
Camp_mat_tested,Campaign was pre-tested,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2750,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Data not available,,,,,,
Camp_mat_tested,Campaign was pre-tested,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2750,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
Camp_mat_tested,Campaign was pre-tested,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2750,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Not applicable,,,,,,
Camp_mat_tested,Campaign was pre-tested,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2750,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,No,,,,,,
Camp_mat_tested,Campaign was pre-tested,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2750,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,No,,,,,,
Camp_mat_tested,Campaign was pre-tested,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2750,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
Camp_media_planning,Campaign utilized media planning,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2752,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Data not available,,,,,,
Camp_media_planning,Campaign utilized media planning,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2752,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Data not available,,,,,,
Camp_media_planning,Campaign utilized media planning,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2752,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Yes,,,,,,
Camp_media_planning,Campaign utilized media planning,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2752,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Not applicable,,,,,,
Camp_media_planning,Campaign utilized media planning,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2752,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
Camp_media_planning,Campaign utilized media planning,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2752,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
Camp_media_planning,Campaign utilized media planning,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2752,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,No,,,,,,
Camp_nat,At least one national mass media campaign ran during the survey period,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2748,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Data not available,,,,,,
Camp_nat,At least one national mass media campaign ran during the survey period,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2748,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Data not available,,,,,,
Camp_nat,At least one national mass media campaign ran during the survey period,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2748,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,yes,,,,,,
Camp_nat,At least one national mass media campaign ran during the survey period,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2748,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Not applicable,,,,,,
Camp_nat,At least one national mass media campaign ran during the survey period,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2748,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
Camp_nat,At least one national mass media campaign ran during the survey period,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2748,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
Camp_nat,At least one national mass media campaign ran during the survey period,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2748,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
Camp_news,Earned media/public relations were used to promote the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2753,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Data not available,,,,,,
Camp_news,Earned media/public relations were used to promote the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2753,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Data not available,,,,,,
Camp_news,Earned media/public relations were used to promote the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2753,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Yes,,,,,,
Camp_news,Earned media/public relations were used to promote the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2753,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Not applicable,,,,,,
Camp_news,Earned media/public relations were used to promote the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2753,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,No,,,,,,
Camp_news,Earned media/public relations were used to promote the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2753,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
Camp_news,Earned media/public relations were used to promote the campaign,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2753,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
Camp_tv_radio,Campaign ran on both national television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4580,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,Data not available,,,,,,
Camp_tv_radio,Campaign ran on both national television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4580,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,Data not available,,,,,,
Camp_tv_radio,Campaign ran on both national television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4580,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,Data not available,,,,,,
Camp_tv_radio,Campaign ran on both national television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4580,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Not applicable,,,,,,
Camp_tv_radio,Campaign ran on both national television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4580,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
Camp_tv_radio,Campaign ran on both national television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4580,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,No,,,,,,
Camp_tv_radio,Campaign ran on both national television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4580,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,No,,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,2,2.00000,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,2,2.00000,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,2,2.00000,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,4,4.00000,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,4,4.00000,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,4,4.00000,,,,,
E_Group,Enforce bans on tobacco advertising,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/373,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,4,4.00000,,,,,
E1_nat_tv_radio,Ban on advertising on national television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1313,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No,,,,,,
E1_nat_tv_radio,Ban on advertising on national television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1313,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No,,,,,,
E1_nat_tv_radio,Ban on advertising on national television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1313,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
E1_nat_tv_radio,Ban on advertising on national television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1313,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Yes,,,,,,
E1_nat_tv_radio,Ban on advertising on national television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1313,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
E1_nat_tv_radio,Ban on advertising on national television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1313,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
E1_nat_tv_radio,Ban on advertising on national television and radio,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1313,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
E10_promo_discounts,Ban on promotional discounts,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1316,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No,,,,,,
E10_promo_discounts,Ban on promotional discounts,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1316,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No,,,,,,
E10_promo_discounts,Ban on promotional discounts,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1316,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
E10_promo_discounts,Ban on promotional discounts,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1316,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,No,,,,,,
E10_promo_discounts,Ban on promotional discounts,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1316,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
E10_promo_discounts,Ban on promotional discounts,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1316,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
E10_promo_discounts,Ban on promotional discounts,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1316,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ARG,2018,2018,Argentina,,,,,Yes,,,,,,
E11_brand_stretching,Ban on identifying non-tobacco products with tobacco brand names,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1310,PUBLISHED,Published,,2007,2007,,AMR,Americas,,ARG,2007,2007,Argentina,,,,,No,,,,,,
E11_brand_stretching,Ban on identifying non-tobacco products with tobacco brand names,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1310,PUBLISHED,Published,,2008,2008,,AMR,Americas,,ARG,2008,2008,Argentina,,,,,No,,,,,,
E11_brand_stretching,Ban on identifying non-tobacco products with tobacco brand names,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1310,PUBLISHED,Published,,2010,2010,,AMR,Americas,,ARG,2010,2010,Argentina,,,,,No,,,,,,
E11_brand_stretching,Ban on identifying non-tobacco products with tobacco brand names,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1310,PUBLISHED,Published,,2012,2012,,AMR,Americas,,ARG,2012,2012,Argentina,,,,,Yes,,,,,,
E11_brand_stretching,Ban on identifying non-tobacco products with tobacco brand names,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1310,PUBLISHED,Published,,2014,2014,,AMR,Americas,,ARG,2014,2014,Argentina,,,,,Yes,,,,,,
E11_brand_stretching,Ban on identifying non-tobacco products with tobacco brand names,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1310,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ARG,2016,2016,Argentina,,,,,Yes,,,,,,
